"lat","lng","status","date","type","color"
"-16.82","-72.9","ATENDIENDO","2023-12-15 09:58:48","SISMO","#CC0000"
"-16.38","-72.04","ATENDIENDO","2023-12-15 14:45:46","SISMO","#CC0000"
"-14.55","-76.61","ATENDIENDO","2023-12-15 17:53:07","SISMO","#CC0000"
"-9.84","-75.64","ATENDIENDO","2023-12-16 07:37:54","SISMO","#CC0000"
"-18.91","-72.5","ATENDIENDO","2023-12-16 09:24:50","SISMO","#CC0000"
"-5.33","-80.8","ATENDIENDO","2023-12-16 09:32:47","SISMO","#CC0000"
"-15.25","-75.61","ATENDIENDO","2023-12-16 18:58:23","SISMO","#CC0000"
"-13.02","-76.45","ATENDIENDO","2023-12-17 17:19:14","SISMO","#CC0000"
"-15.02","-73.31","ATENDIENDO","2023-12-18 04:03:53","SISMO","#CC0000"
"-5.94","-80.23","ATENDIENDO","2023-12-18 14:31:04","SISMO","#CC0000"
"-6.49","-80.83","ATENDIENDO","2023-12-18 17:05:09","SISMO","#CC0000"
"-17.17","-72.25","ATENDIENDO","2023-12-18 22:22:58","SISMO","#CC0000"
"-15.81","-71.81","ATENDIENDO","2023-12-19 02:52:36","SISMO","#CC0000"
"-4.54","-76.94","ATENDIENDO","2023-12-19 14:15:21","SISMO","#CC0000"
"-4.89","-80.23","ATENDIENDO","2023-12-19 14:54:48","SISMO","#CC0000"
"-3.54","-79.73","ATENDIENDO","2023-12-19 20:52:05","SISMO","#CC0000"
"-15.68","-72.03","ATENDIENDO","2023-12-19 23:47:27","SISMO","#CC0000"
"-14.09","-72.81","ATENDIENDO","2023-12-20 10:39:28","SISMO","#CC0000"
"-16.11","-72.78","ATENDIENDO","2023-12-20 12:11:20","SISMO","#CC0000"
"-8.48","-74.6","ATENDIENDO","2023-12-21 11:36:10","SISMO","#CC0000"
"-16.11","-72.74","ATENDIENDO","2023-12-21 14:24:41","SISMO","#CC0000"
"-15.81","-71.77","ATENDIENDO","2023-12-22 02:16:31","SISMO","#CC0000"
"-16.12","-72.89","ATENDIENDO","2023-12-22 11:28:36","SISMO","#CC0000"
"-3.92","-77.41","ATENDIENDO","2023-12-23 04:04:41","SISMO","#CC0000"
"-11.53","-78.25","ATENDIENDO","2023-12-23 10:44:11","SISMO","#CC0000"
"-14.99","-72.7","ATENDIENDO","2023-12-23 11:26:46","SISMO","#CC0000"
"-10.49","-74.55","ATENDIENDO","2023-12-23 14:59:30","SISMO","#CC0000"
"-16.58","-71.62","ATENDIENDO","2023-12-23 20:03:54","SISMO","#CC0000"
"-7.29","-76.9","ATENDIENDO","2023-12-23 23:22:52","SISMO","#CC0000"
"-15.79","-71.79","ATENDIENDO","2023-12-24 11:14:44","SISMO","#CC0000"
"-13.53","-72.46","ATENDIENDO","2023-12-25 23:15:40","SISMO","#CC0000"
"-4.89","-80.76","ATENDIENDO","2023-12-25 23:28:41","SISMO","#CC0000"
"-11.97","-75.65","ATENDIENDO","2023-12-26 11:05:27","SISMO","#CC0000"
"-9.65","-79.05","ATENDIENDO","2023-12-27 14:16:37","SISMO","#CC0000"
"-3.55","-80.74","ATENDIENDO","2023-12-28 03:11:14","SISMO","#CC0000"
"-11.22","-75.93","ATENDIENDO","2023-12-28 07:12:22","SISMO","#CC0000"
"-11.8","-77.52","ATENDIENDO","2023-12-29 14:49:46","SISMO","#CC0000"
"-8.32","-79.14","ATENDIENDO","2023-12-29 19:51:36","SISMO","#CC0000"
"-16.78","-71.24","ATENDIENDO","2023-12-30 03:03:17","SISMO","#CC0000"
"-13.08","-76.81","ATENDIENDO","2023-12-30 05:10:26","SISMO","#CC0000"
"-6.4","-76.93","ATENDIENDO","2023-12-31 14:47:23","SISMO","#CC0000"
"-9.67","-75.63","ATENDIENDO","2023-12-31 17:08:36","SISMO","#CC0000"
"-10.69","-78.54","ATENDIENDO","2024-01-01 07:06:07","SISMO","#CC0000"
"-16.53","-71.63","ATENDIENDO","2024-01-01 20:03:53","SISMO","#CC0000"
"-11.92","-77.74","ATENDIENDO","2024-01-04 11:57:15","SISMO","#CC0000"
"-12.13","-77.45","ATENDIENDO","2024-01-04 13:45:30","SISMO","#CC0000"
"-5.83","-81.03","ATENDIENDO","2024-01-04 13:46:24","SISMO","#CC0000"
"-12.14","-77.3","ATENDIENDO","2024-01-04 17:42:39","SISMO","#CC0000"
"-15.57","-74.35","ATENDIENDO","2024-01-05 00:55:41","SISMO","#CC0000"
"-8.62","-74.53","ATENDIENDO","2024-01-05 07:29:55","SISMO","#CC0000"
"-11.79","-77.57","ATENDIENDO","2024-01-05 17:30:27","SISMO","#CC0000"
"-14.65","-70.75","ATENDIENDO","2024-01-06 10:31:12","SISMO","#CC0000"
"-18.35","-69.44","ATENDIENDO","2024-01-07 08:35:33","SISMO","#CC0000"
"-3.69","-80.88","ATENDIENDO","2024-01-07 15:08:25","SISMO","#CC0000"
"-5.13","-79.98","ATENDIENDO","2024-01-08 04:19:29","SISMO","#CC0000"
"-9.87","-74.87","ATENDIENDO","2024-01-08 08:45:39","SISMO","#CC0000"
"-15.15","-73.32","ATENDIENDO","2024-01-08 12:40:27","SISMO","#CC0000"
"-10.19","-75.67","ATENDIENDO","2024-01-08 23:43:45","SISMO","#CC0000"
"-8.02","-79.88","ATENDIENDO","2024-01-09 01:05:04","SISMO","#CC0000"
"-5.54","-80.74","ATENDIENDO","2024-01-09 09:15:20","SISMO","#CC0000"
"-13.81","-74.23","ATENDIENDO","2024-01-09 14:16:09","SISMO","#CC0000"
